objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
dd_18,djinndesert_18.png,,The World of the Djinn Desert 7,image/png,An Image of the Djinn Desert,,,,4000BC,,Bedouin; Desert; Photograph; Modern,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,,
dd_19,djinndesert_19.png,,The World of the Djinn Desert 8,image/png,An Image of the Djinn Desert Dunes,,,,4000BC,,Bedouin; Desert; Photograph; Modern,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,,
dd_20,djinndesert_20.png,,The World of the Djinn Desert 9,image/png,An Image of the Djinn Desert sandstorm,,,,4000BC,,Bedouin; Desert; Photograph; Modern,Rig-e Jenn,34.6295,53.3762,,,,,,,,,,,
bs_1,,27uYbTNwIe8,Stonehenge | The Bluestone Enigma | Exploring the Megalithic Quarry in Wales | Megalithomania,video/mp4,Background about the Bluestones and Stonehenge's mysteries.,MegalithomaniaUK,,2017-01-21,2400BC,,Briton; Stones; Video; History; Modern,England,51.178844,-1.826323,,,,,,,,,,eng,
bs_2,,iy0CfYd1hWg,How Was Stonehenge Created? | Animated History,video/mp4,The animated history of Stonehenge,English Heritage,,2017-08-10,2400BC,,Briton; Stones; Video; History; Modern,England,51.178844,-1.826323,,,,,,,,,,eng,
bs_3,bluestones_3.jpg,,Merlin and a Giant building Stonehenge,image/jpg,The oldest known depiction of Stonehenge by the Medieval Norman poet Wace in his book Brut.,Wace,,1325,2400BC,,Briton; Stones; Art; Ancient; Painting,England,51.178844,-1.826323,,,,,,,,,,,
bs_4,bluestones_4.jpg,,Druid Ritual at Stonehenge,image/jpg,An engraving of druids sacrificing to the sun in their temple of Stonehenge,William Stukeley,,1722,2400BC,,Briton; Stones; Art; Antique; Drawing,England,51.178844,-1.826323,,,,,,,,,,,
bs_5,bluestones_5.jpg,,Stonehenge (1835),image/jpg,A Romantic style watercolour painting of Stonehenge,John Constable,,1835,2400BC,,Briton; Stones; Art; Painting; Antique,England,51.178844,-1.826323,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
bs_7,bluestones_7.jpg,,Stonehenge - Wiltonia sive Comitatus Wiltoniensis,image/jpg,A topographical view of Stonehenge in Atlas van Loon's geographical atlas,Atlas van Loon,,1649,2400BC,,Briton; Stones; Art; Antique,England,51.178844,-1.826323,,,,,,,,,,,
bs_8,bluestones_8.jpg,,The Grand Conventional Festival of the Britons,image/jpg,A depiction of Stonehenge from The Costume of the Original Inhabitants of the British Islands,Samuel Meyrick; Charles Smith,,1814,2400BC,,Briton; Stones; Art; Antique,England,51.178844,-1.826323,,,,,,,,,,,
bs_9,,W3bPqkoMliU,The Amesbury Archer: 20 Years On,video/mp4,A discussion on what the Amesburt Archer can tell us about why Stonehenge was so important,wessexarchaeology,,2022-07-23,2400BC,,Briton; Stones; History; Video; Skeleton; Modern,England,51.178844,-1.826323,,,,,,,,,,,
bs_10,bluestones_10.jpg,,"Archer, Journey to Stonehenge",image/jpg,A children's book about the Amesbury Archer and his migration to Stonehenge.,Jane Brayne,,2016,2400BC,,Briton; Stones; Literature; Modern,England,51.178844,-1.826323,,,,,,,,,,,
bs_11,bluestones_11.png,,Preseli Bluestone,image/png,"Samples of Preseli Bluestone, the rock of Stonehenges interior bluestones.",,,,2400BC,,Briton; Stones; Material; Modern,England,51.178844,-1.826323,,,,,,,Reproduction Rights belong to the Crystal Council,,,,
bs_12,bluestones_12.png,,The World of the Bluestones at Stonehenge 1,image/png,An overhead view of Stonehenge,,,,2400BC,,Briton; Stones; Photograph; Modern,England,51.178844,-1.826323,,,,,,,,,,,
bs_13,bluestones_13.png,,The World of the Bluestones at Stonehenge 2,image/png,The sun through the monoliths of Stonehenge,,,,2400BC,,Briton; Stones; Photograph; Modern,England,51.178844,-1.826323,,,,,,,,,,,
bs_14,bluestones_14.png,,The World of the Bluestones at Stonehenge 3,image/png,A Landscape view of Stonehenge,,,,2400BC,,Briton; Stones; Photograph; Modern,England,51.178844,-1.826323,,,,,,,,,,,
bs_15,bluestones_15.png,,The World of the Bluestones at Stonehenge 4,image/png,A bluestone ready for manual transport,,,,2400BC,,Briton; Stones; Photograph; Modern,England,51.178844,-1.826323,,,,,,,,,,,
bs_16,bluestones_16.png,,The World of the Bluestones at Stonehenge 5,image/png,Stonehenge from afar,,,,2400BC,,Briton; Stones; Photograph; Modern,England,51.178844,-1.826323,,,,,,,,,,,
bs_17,bluestones_17.png,,The World of the Bluestones at Stonehenge 6,image/png,The stars over Stonehenge,,,,2400BC,,Briton; Stones; Photograph; Modern,England,51.178844,-1.826323,,,,,,,,,,,
bs_18,bluestones_18.png,,The World of the Bluestones at Stonehenge 7,image/png,Stonehenge on a celestial night,,,,2400BC,,Briton; Stones; Photograph; Modern,England,51.178844,-1.826323,,,,,,,,,,,
bs_19,bluestones_19.png,,The World of the Bluestones at Stonehenge 8,image/png,The fallen pillars of Stonehenge,,,,2400BC,,Briton; Stones; Photograph; Modern,England,51.178844,-1.826323,,,,,,,,,,,
bs_20,bluestones_20.png,,The World of the Bluestones at Stonehenge 9,image/png,The bluestones natural environment in Wales,,,,2400BC,,Briton; Stones; Photograph; Modern,England,51.178844,-1.826323,,,,,,,,,,,
bt_1,,69zAs-LhMdQ,Stories of the Baobab tree and Tanzania,video/mp4,Narratives about Baobab trees in Tanzania,Curious On Tanzania,,2021-05-17,1300,,Tanzanian; Trees; Video; Modern; Africa,Tanzania,-6.3690,34.8888,,,,,,,,,,eng,
bt_2,,QjS9X6oU2Rw,The Baobab Tree and its Mystries,video/mp4,Narratives about Baobab trees in Ghana,Chef Abiro,,2022-02-19,1300,,Ghanaian; Trees; Africa; Video; Modern,Ghana,7.9465,-1.0232,,,,,,,,,,eng,
bt_3,,RwgmEZc_i1g,13 Fascinating Facts About Baobab Trees,video/mp4,Various facts about the Baobab Tree,Petals&Pots,,2023-08-02,1300,,Africa; Trees; Video; Modern; Facts,Sub-Saharan Africa,-7.642383,33.046521,,,,,,,,,,eng,
bt_4,,ebOLqfeFhg0,The Majestic Baobab Tree | Learn Facts about Tree and Baobab Fruit,video/mp4,Various facts about the Baobab Tree and its Fruit,powbab,,2019-01-30,1300,,Africa; Trees; Video; Modern; Facts,Sub-Saharan Africa,-7.642383,33.046521,,,,,,,,,,eng,
bt_5,baobabtrees_5.jpg,,Map of African Baobab Tree Distribution,image/jpg,A map of Sub-Saharan Africa Baobab Trees by the African Baobab Alliance,,,,1300,,Africa; Trees; Map; Modern,Sub-Saharan Africa,-7.642383,33.046521,,,,,,,,,,,
bt_6,baobabtrees_6.jpg,,Baobab à Mohéli,image/jpg,An antique photograph of a Baobab tree in Madagascar,Désiré Charnay,,1863,1300,,Africa; Trees; Antique; Photograph,Madagascar,-18.7669,46.8691,,,"The Met, Gilman Collection, Purchase, Sam Salz Foundation Gift, 2005",,,2005.100.735,,,,,
bt_7,baobabtrees_7.png,,Baobab Fruit Traps,image/png,Rodents traps made from baobab fruit,Patrick Maundu; Pentti Turunen; Simone Grassi; Hillary Mwatsuma,,2020-11-10,1300,,Kenyan; Africa; Trees; Fruit; Material; Modern,Kenya,-3.78333,39.6667,,,,,,,,,,,
bt_8,baobabtrees_8.png,,Scaling the Baobab,image/png,A Hazda member climbing a peg ladder on a Baobab Tree for resources,Ariadne Van Zandbergen,,,1300,,Tanzanian; Hazda; Trees; Modern; Photograph,Tanzania,-6.3690,34.8888,,,,,,,,,,,
bt_9,baobabtrees_9.jpg,,Seed Pod,image/jpg,An African Baobab Tree seed pod,,,,1300,,Africa; Trees; Fruit; Material; Modern,Sub-Saharan Africa,-7.642383,33.046521,,,,,,,,,,,
bt_10,baobabtrees_10.png,,Baobab Fruit and Powder,image/png,Baobab fruit and powder refined and processed for eating,,,,1300,,Africa; Trees; Fruit; Food; Material; Modern,Sub-Saharan Africa,-7.642383,33.046521,,,,,,,,,,,
bt_11,baobabtrees_11.png,,The World of the Baobab Tree 1,image/png,A timelapse photograph of a Baobab Tree and the Stars,,,,1300,,Africa; Trees; Photograph; Modern,Sub-Saharan Africa,-7.642383,33.046521,,,,,,,,,,,
bt_12,baobabtrees_12.png,,The World of the Baobab Tree 2,image/png,A road of tall baobab trees,,,,1300,,Africa; Trees; Photograph; Modern,Sub-Saharan Africa,-7.642383,33.046521,,,,,,,,,,,
bt_13,baobabtrees_13.png,,The World of the Baobab Tree 3,image/png,Baobab trees in the marshes,,,,1300,,Africa; Trees; Water; Photograph; Modern,Sub-Saharan Africa,-7.642383,33.046521,,,,,,,,,,,
bt_14,baobabtrees_14.png,,The World of the Baobab Tree 4,image/png,Stocky Baobab Trees,,,,1300,,Africa; Trees; Photograph; Modern,Sub-Saharan Africa,-7.642383,33.046521,,,,,,,,,,,
bt_15,baobabtrees_15.png,,The World of the Baobab Tree 5,image/png,Baobab Trees in the sunset,,,,1300,,Africa; Trees; Photograph; Modern,Sub-Saharan Africa,-7.642383,33.046521,,,,,,,,,,,
bt_16,baobabtrees_16.png,,The World of the Baobab Tree 6,image/png,Baobab Tree in the tall grasses with Elephants,,,,1300,,Africa; Trees; Elephants; Photograph; Modern; Animals,Sub-Saharan Africa,-7.642383,33.046521,,,,,,,,,,,
bt_17,baobabtrees_17.png,,The World of the Baobab Tree 7,image/png,Baobab Tree in the tall grasses with zebras and antelope,,,,1300,,Africa; Trees; Zebras; Antelope; Animals; Photograph; Modern,Sub-Saharan Africa,-7.642383,33.046521,,,,,,,,,,,
bt_18,baobabtrees_18.png,,The World of the Baobab Tree 8,image/png,Baobab Tree fruit pods,,,,1300,,Africa; Trees; Fruit; Photograph; Modern,Sub-Saharan Africa,-7.642383,33.046521,,,,,,,,,,,
bt_19,baobabtrees_19.png,,The World of the Baobab Tree 9,image/png,Looking up at the Baobob Trees with the Sunset,,,,1300,,Africa; Trees; Modern; Photograph,Sub-Saharan Africa,-7.642383,33.046521,,,,,,,,,,,
bt_20,baobabtrees_20.png,,The World of the Baobab Tree 10,image/png,A baby Baobab Tree,,,,1300,,Africa; Trees; Modern; Photograph,Sub-Saharan Africa,-7.642383,33.046521,,,,,,,,,,,
af_1,,Z3cFXSIQSmc,Aokigahara: Japan’s Forest of LIFE & DEATH,video/mp4,An overview of the Aokigahara forest history ,ANIKI,,2024-12-29,864,,Japan; Trees; Forest; Video; Modern,Chūbu,35.4752,138.6405,,,,,,,,,,,
af_2,,EbBBxTRww68,The Legends of Aokigahara: Japan’s Haunted Forest,video/mp4,The local legends of Aokigahara Forest,Curious Kids HQ,,2024-10-25,864,,Japan; Trees; Forest; Video; Modern,Chūbu,35.4752,138.6405,,,,,,,,,,,
af_3,,jLokc2gjd08,The Ghosts Of Aokigahara Forest - Japanese Ghosts & Spirits (History documentary),video/mp4,The spirits of Aokigahara Forest,The Glymp,,2023-08-09,864,,Japan; Trees; Forest; Video; Modern; Yūrei,Chūbu,35.4752,138.6405,,,,,,,,,,,
af_4,aokigaharaforest_4.jpeg,,"O-Nyudo, Hanging Scroll Painting",image/jpeg,The practice of Ubasute: abandoning elderly and infirm relatives to isolated environments ,,,1910,864,,Japan; Art; Painting; Vintage; Yūrei,Chūbu,35.4752,138.6405,,,"Museum of International Folk Art, museum purchase",,,A.2017.91.1a-c,,,,,
af_5,aokigaharaforest_5.jpeg,,"Yurei (Ghost) Hovering over her bones, Hanging Scroll Painting",image/jpeg,"A Yurei in a white robe over her bones, in a natural environment",,,1862,864,,Japan; Art; Painting; Vintage; Yūrei,Chūbu,35.4752,138.6405,,,"Museum of International Folk Art, IFAF Collection",,,FA.2018.42.1,,,,,
af_6,aokigaharaforest_6.jpg,,A Line in the Forest,image/jpg,A guideline running through the Forest to led the weary back home,Pieter ten Hoopen,,2012,864,,Japan; Trees; Forest; Photograph; Modern,Chūbu,35.4752,138.6405,,,,,,,,,,,
af_7,aokigaharaforest_7.jpg,,A Shrine in the Forest,image/jpg,A small wooden shrine placed in the forest by the relatives of the  deceased,Pieter ten Hoopen,,2012,864,,Japan; Trees; Forest; Photograph; Modern; Religion,Chūbu,35.4752,138.6405,,,,,,,,,,,
af_8,aokigaharaforest_8.jpg,,Tribute in the Forest,image/jpg,A small statue left as a tribute to the deceased,Pieter ten Hoopen,,2012,864,,Japan; Trees; Forest; Photograph; Modern; Religion,Chūbu,35.4752,138.6405,,,,,,,,,,,
af_9,aokigaharaforest_9.png,,Moss Covered Forest,image/png,A monotone photograph of Aokigahara forest,Tomasz Lazar,,2017,864,,Japan; Trees; Forest; Photograph; Modern,Chūbu,35.4752,138.6405,,,,,,,,,,,
af_10,aokigaharaforest_10.png,,Wild Grape Vines in the Forest,image/png,A monotone photograph of Aokigahara forest,Tomasz Lazar,,2017,864,,Japan; Trees; Forest; Photograph; Modern,Chūbu,35.4752,138.6405,,,,,,,,,,,
af_11,aokigaharaforest_11.png,,The World of the Aokigahara Forest 1,image/png,An overview of the Aokigahara Forest and Mount Fuji,,,,864,,Japan; Trees; Forest; Photograph; Modern,Chūbu,35.4752,138.6405,,,,,,,,,,,
af_12,aokigaharaforest_12.png,,The World of the Aokigahara Forest 2,image/png,Flying over the Sea of Trees,,,,864,,Japan; Trees; Forest; Photograph; Modern,Chūbu,35.4752,138.6405,,,,,,,,,,,
af_13,aokigaharaforest_13.png,,The World of the Aokigahara Forest 3,image/png,Looking up through the canopy,,,,864,,Japan; Trees; Forest; Photograph; Modern,Chūbu,35.4752,138.6405,,,,,,,,,,,
af_14,aokigaharaforest_14.png,,The World of the Aokigahara Forest 4,image/png,The dense forest,,,,864,,Japan; Trees; Forest; Photograph; Modern,Chūbu,35.4752,138.6405,,,,,,,,,,,
af_15,aokigaharaforest_15.png,,The World of the Aokigahara Forest 5,image/png,Warning signage in the forest,,,,864,,Japan; Trees; Forest; Photograph; Modern,Chūbu,35.4752,138.6405,,,,,,,,,,,
af_16,aokigaharaforest_16.png,,The World of the Aokigahara Forest 6,image/png,The natural tunnel,,,,864,,Japan; Trees; Forest; Photograph; Modern,Chūbu,35.4752,138.6405,,,,,,,,,,,
af_17,aokigaharaforest_17.png,,The World of the Aokigahara Forest 7,image/png,The hanging greens of Aokigahara,,,,864,,Japan; Trees; Forest; Photograph; Modern,Chūbu,35.4752,138.6405,,,,,,,,,,,
af_18,aokigaharaforest_18.png,,The World of the Aokigahara Forest 8,image/png,One of the caves in Aokigahara,,,,864,,Japan; Trees; Forest; Photograph; Modern,Chūbu,35.4752,138.6405,,,,,,,,,,,
af_19,aokigaharaforest_19.png,,The World of the Aokigahara Forest 9,image/png,A view of the forest,,,,864,,Japan; Trees; Forest; Photograph; Modern,Chūbu,35.4752,138.6405,,,,,,,,,,,
af_20,aokigaharaforest_20.png,,The World of the Aokigahara Forest 10,image/png,Through the sea of the trees,,,,864,,Japan; Trees; Forest; Photograph; Modern,Chūbu,35.4752,138.6405,,,,,,,,,,,
dt_1,,lPcz1ILBRSY,Ep9: The Seven Sisters at Devil's Rock,video/mp4,The Native American history of the Devil's tower,Royal Saskatchewan Museum,,2021-02-20,1932,,Lakota; Kiowa; Native American; Video; Modern; Mountain; History,Wyoming,44.4761,-104.4439,,,,,,,,,,,
dt_2,,Gwy7GqE-G9o,The Story Behind This Giant Rock in the Middle of a Field,video/mp4,How an unusual tower became a legend,PBS Terra,,2023-10-16,1500,,Lakota; Kiowa; Native American; Video; Modern; Mountain; History,Wyoming,44.4761,-104.4439,,,,,,,,,,,
dt_3,devilstower_3.png,,Dancing for Bear Lodge,image/png,An Ojibwe member in tribal attire traditionally dancing in front of Bear Lodge,Michelle Reed,,2023-07-26,1500,,Ojibwe; Native American; Photograph; Dance; Modern; Mountain,Wyoming,44.4761,-104.4439,,,,,,,,,,,
dt_4,devilstower_4.png,,Prayer Cloths at Bear Lodge,image/png,Native American prayer cloths tied to a tree in sight of Bear Lodge,Rabi W,,,1500,,Native American; Photograph; Modern; Mountain; Material,Wyoming,44.4761,-104.4439,,,,,,,,,,,
dt_5,devilstower_5.jpg,,The Climb,image/jpg,A depiction of the legendary bear climbing the mountain against the warriors,,,,1500,,Cheyenne; Native American; Art; Mountain,Wyoming,44.4761,-104.4439,,,,,,,,,,,
dt_6,devilstower_6.jpg,,Devil's Tower,image/jpg,A muted photograph postcard of Devil's Tower,John C. H. Grabill,,1888,1500,,Native American; Photograph; Antique; Mountain,Wyoming,44.4761,-104.4439,,,The Library of Congress,,,"LOT 3076-14, no. 888",,,,,
dt_7,devilstower_7.jpg,,Devil's Tower Poster,image/jpg,A rangers poster for the Devil's Tower,,,,1500,,Native American; Vintage; Art; Mountain,Wyoming,44.4761,-104.4439,,,,,,,,,,,
dt_8,devilstower_8.png,,Devil's Tower National Monument Sketch,image/png,A landscape sketch of Devil's Tower,James Niehues,,2021,1500,,Native American; Mountain; Drawing; Art; Modern,Wyoming,44.4761,-104.4439,,,American Landscape Project,,,,Reproduction Righst belong to artist James Niehues,,,,
dt_9,devilstower_9.jpg,,Devil's Tower,image/jpg,A landscape oil painting of Devil's Tower,Thomas Moran,,1919,1500,,Native American; Mountain; Painting; Art; Vintage,Wyoming,44.4761,-104.4439,,,,,,,,,,,
dt_10,devilstower_10.png,,Devil's Tower,image/png,A drawn spiritual style depiction of Devil's Tower,,,,1500,,Native American; Mountain; Drawing; Art; Modern,Wyoming,44.4761,-104.4439,,,,,,,,,,,
